flight, total cost 15 min. delay (€), total cost 30 min. delay (€), total cost 60 min. delay (€)
ED17122,15000,92250,519750
RT189275,66000,204000,741000
RT82479,129000,443250,1495500
RY83626,21750,68250,311250
XC158684,9750,52500,219000
VL176295,30750,105750,474750
RY208455,3000,19500,143250
RY196204,33750,150000,681000
RY89240,85500,303750,981750
AR121636,12000,90750,490500
AR80897,77250,269250,849000
KJ454,9750,73500,414750
RY170434,26250,112500,449250
RY174311,5250,72750,246750
RY209756,24750,49500,110250
VL168406,13500,99000,543000
VL25934,16500,108750,459750
ED163310,5250,18000,60750
RY127223,17250,58500,216750
XC103900,60750,193500,790500
FT123127,52500,193500,531000
RY202113,41250,99750,310500
XC151568,101250,219750,540750
AR4866,19500,76500,454500
RY43590,1500,3000,106500
FT56294,115500,315750,909750
RT202747,23250,77250,245250
RT171106,52500,159000,431250
RY130603,16500,40500,186750
ED43934,3750,7500,218250
VL173620,51000,135750,368250
FT46765,5250,10500,114000
RT106609,35250,120000,571500
KJ58367,30000,72000,226500
VL33296,13500,30000,89250
AR1435,6750,25500,237000
XC207401,39750,130500,495750
FT113665,13500,35250,100500
FT139680,7500,57000,169500
ED80960,14250,30000,111750
KJ202181,53250,107250,268500
RT201852,6750,29250,175500
FT150442,11250,54000,172500
FT73866,27000,82500,279000
AR169826,50250,128250,378750
RY12504,9000,99750,448500
KJ150504,28500,57750,307500
ED170048,45750,143250,552000
FT135592,18750,76500,273000
FT57001,81000,204000,552750
ED151273,51000,140250,447750
KJ196837,26250,66000,237000
RT21549,750,21750,261750
VL13556,27750,141750,456750
RY186497,24750,67500,240750
RY139112,53250,195000,933750
AR47159,138750,432750,2228250
FT115722,19500,111000,948750
RT205594,3750,116250,604500
RY24217,36000,253500,1600500
AR139298,98250,432000,1892250
RT9477,81750,312000,1251750
VL82636,135750,504750,2333250
VL205694,85500,306750,1309500
KJ175338,130500,384750,1821000
RY13409,6000,57750,591750
VL172962,34500,176250,1300500
ED10307,88500,339750,1446750
KJ87039,196500,529500,1884750
AR81835,750,27000,360000
RT147767,66750,237750,1003500
KJ180288,102750,497250,1923750
KJ60949,17250,105750,1154250
AR207649,2250,44250,343500
VL164351,132000,544500,2557500
KJ29233,55500,219750,846750
RY189518,3000,179250,778500
AR195573,8250,36750,286500
KJ143907,18000,127500,1356000
XC115921,12000,51750,538500
AR61981,6000,12000,253500
RT101876,16500,150000,906750
AR178847,53250,274500,1402500
ED140930,189750,558750,1670250
RT42950,39750,99000,434250
RY56072,750,26250,425250
RY62133,24750,51750,343500
XC181168,91500,440250,2000250
XC156154,8250,16500,33000
XC167963,23250,204000,924750
ED84799,13500,77250,769500
VL132572,81750,321750,1518750
AR165749,84750,279750,1005750
VL164936,25500,95250,380250
AR51215,58500,208500,1043250
AR99996,53250,275250,1347750
KJ156993,18750,73500,531750
RT158506,31500,75000,736500
RT24651,6750,33000,473250
AR153471,4500,122250,666750
AR66675,12750,42750,440250
ED35708,4500,69750,642750
VL79341,45750,287250,1341750
ED27657,9750,33000,272250
ED47343,23250,165750,987750
KJ217490,6000,74250,624750
KJ37094,6000,45000,726000
RT143350,63000,279750,1381500
VL216487,6000,15750,157500
AR109924,6750,13500,66000
FT37978,69000,456000,1842000
RY62893,4500,36750,495750
AR144422,7500,108000,760500
RT35674,87000,210000,686250
ED112755,6750,64500,365250
ED57,20250,93000,847500
RY179385,19500,108000,566250
RY188268,2250,11250,284250
FT71929,61500,166500,507750
XC28909,192000,534750,1658250
ED159730,21750,66000,244500
ED205309,27000,291000,1759500
AR51080,68250,195000,753000
ED70243,2250,24750,174000
FT184513,750,155250,768750
KJ23309,5250,93000,498750
AR109602,19500,46500,594000
KJ30749,69750,392250,1482000
AR218833,57000,200250,1246500
RY201288,32250,88500,576000
RY70847,126000,426750,1368000
VL57187,42750,223500,863250
AR216422,29250,141750,573750
VL60904,21000,83250,652500
AR218394,104250,339750,1311000
RT84430,35250,144000,864000
RY40145,69750,208500,830250
RY48803,2250,27000,393000
VL114188,2250,6750,136500
XC155918,60000,135750,469500
FT29155,3000,24750,246750
XC113831,27000,73500,327000
XC181855,86250,374250,1618500
FT18915,31500,242250,1069500
XC151714,3750,48750,254250
XC168057,3750,30750,206250
AR106978,63000,146250,497250
ED40566,5250,10500,88500
XC27680,27750,79500,406500
VL25949,31500,117000,368250
XC112836,32250,135750,978000
RY93209,21000,72000,615750
KJ193394,5250,24000,387750
VL73547,14250,45000,363000
AR195570,18000,75750,452250
AR82429,28500,77250,439500
ED136816,42750,177000,696000
ED153782,63000,200250,748500
ED104029,30000,188250,822000
RT183541,32250,78000,528750
RT22197,11250,91500,634500
VL61900,105750,324000,1173750
AR217024,165750,504000,1692750
ED39485,9000,32250,208500
KJ216449,131250,380250,1306500
KJ144481,3750,15750,132000
RT95643,56250,213000,1104750
RY65121,27750,76500,217500
VL57374,3750,77250,357000
XC33617,63000,190500,1080750
ED75125,4500,9000,223500
FT20256,73500,179250,547500
RT176377,51000,219000,860250
RT201175,29250,170250,660750
XC191456,4500,10500,218250
RT205381,72750,333000,1589250
XC147743,18000,190500,969000
XC182034,23250,72000,353250
RT19693,47250,222000,825750
RY113698,7500,102000,388500
VL208963,12000,48750,442500
ED192316,39750,102750,672000
XC73156,39750,105750,577500
RY132626,133500,397500,1443000
AR83434,2250,52500,433500
XC156955,69750,159000,664500
VL62937,5250,23250,214500
KJ100992,18750,163500,626250
VL150040,41250,142500,621750
FT32588,83250,288000,952500
KJ133934,34500,96750,404250
RT127575,84000,255000,783000
FT37384,5250,10500,171000
VL152246,5250,10500,21000
FT11066,6750,23250,171000
KJ204007,26250,82500,341250
RY135501,78000,247500,765750
AR87846,7500,46500,390000
FT75449,7500,52500,345000
VL153293,7500,26250,71250
FT216992,14250,73500,438000
VL32215,29250,123000,627000
RT126084,1500,7500,69750
VL96768,53250,207750,694500
VL83738,49500,183000,833250
AR20834,15000,48750,274500
RT115628,14250,108000,479250
RY58911,20250,57000,234750
XC135857,3000,88500,649500
ED90470,62250,396000,1619250
RY207973,34500,95250,486000
VL65021,122250,360000,1293750
ED6951,33000,125250,806250
FT98126,39750,165750,752250
AR94607,9000,65250,272250
AR6737,81000,190500,571500
KJ55045,6000,66000,619500
RT25670,12750,29250,156750
AR74877,750,67500,665250
XC71016,9750,69750,347250
AR162859,26250,99000,357000
RY60265,20250,68250,364500
AR206840,8250,24000,140250
ED74754,51000,181500,711750
ED75314,8250,29250,93750
XC53819,113250,356250,1089750
ED726,50250,117750,783750
RY175948,29250,156750,754500
AR113737,30750,87750,261000
AR124435,2250,34500,333750
AR47739,5250,15750,261000
RY206088,2250,47250,342000
AR20915,6750,56250,349500
ED189066,59250,144750,536250
FT169944,57000,176250,742500
RT213467,12000,24000,74250
XC171306,9000,47250,272250
ED92913,8250,66750,495000
ED118772,51000,154500,666000
RT124774,12000,90000,563250
RY145051,5250,49500,189000
XC71738,12000,96750,467250
ED49528,28500,222750,1019250
VL26724,16500,56250,399750
FT127526,15750,61500,491250
VL190322,6750,102750,573000
ED51428,750,34500,321750
KJ142447,38250,151500,832500
RY22494,13500,138000,666000
VL112431,750,84000,748500
XC166993,70500,267750,774000
RT215423,7500,60750,334500
RY152125,29250,101250,367500
KJ132006,51000,149250,501000
VL78236,5250,18750,120750
XC107293,12000,101250,516750
RY132897,22500,75750,319500
AR76534,3000,75000,628500
RY116349,18000,128250,771000
VL155346,8250,31500,166500
KJ131288,3750,57750,483750
KJ39030,24000,70500,497250
RY13262,37500,186000,805500
RY1626,9750,27000,94500
ED218089,39750,141750,522000
VL164925,17250,84750,375000
ED150344,72000,243750,1063500
FT209425,38250,96000,307500
FT42554,38250,142500,546750
XC204294,6750,57750,189000
XC119558,750,1500,83250
ED120330,27000,102750,422250
KJ193325,78000,270750,907500
VL94010,8250,36000,285000
AR120419,1500,10500,146250
RT158309,24000,59250,219750
RT84489,48000,197250,611250
RY44596,12000,48750,168000
FT94578,3750,7500,82500
FT99475,25500,63000,252000
XC151548,16500,48000,306750
RT170774,26250,123000,500250
RT201436,16500,111750,330000
VL68060,27000,145500,553500
XC151566,6000,22500,65250
RT133138,15750,44250,174000
RY163185,99750,308250,1058250
XC111229,17250,58500,270750
XC166774,23250,60750,246000
XC6848,12000,29250,126750
AR202471,15000,41250,168750
KJ31895,7500,15000,79500
XC141628,80250,213000,567750
AR218077,8250,24000,201000
ED208636,34500,101250,357750
RY181705,7500,15000,106500
VL96661,11250,51750,189000
AR146925,135750,366000,1036500
AR57965,53250,107250,276000
RY162350,15750,32250,74250
VL212098,46500,111750,345000
VL129665,11250,22500,91500
RT123168,29250,105000,408000
VL119974,20250,47250,172500
XC166168,17250,51750,192000
AR193348,31500,161250,584250
RY79748,24750,93750,333750
XC143245,14250,33000,105000
RT112165,9750,45000,237000
ED158103,10500,32250,165750
ED162174,13500,33000,174750
FT161270,2250,31500,166500
FT183016,46500,103500,328500
KJ80030,8250,24750,156000
RT112354,15000,42000,186000
VL26709,9750,33000,184500
VL125724,11250,28500,195000
XC187962,5250,26250,162000
AR82361,17250,48000,221250
RT23686,9000,18000,59250
FT46810,6750,18750,113250
VL40126,42000,171000,556500
FT157235,37500,106500,476250
FT41765,24000,65250,361500
KJ626,21000,69000,282000
FT70757,26250,71250,264750
KJ170479,8250,27000,81000
VL6777,23250,67500,199500
FT151371,22500,147000,988500
XC60995,2250,82500,552000
XC81820,114750,395250,1298250
XC95972,48750,300000,1557000
AR80543,59250,171750,827250
ED145594,117000,582000,2457000
AR4634,74250,359250,2149500
RY151423,196500,592500,1853250
AR196181,5250,17250,315000
RY105307,5250,51000,214500
VL20494,122250,276750,869250
ED43386,180000,486750,1349250
XC210743,35250,198750,1239000
KJ27425,47250,184500,1107750
VL79268,750,17250,115500
FT67707,79500,346500,1412250
ED41192,30750,122250,893250
ED48673,126000,636750,2555250
XC60335,1500,11250,424500
KJ97060,2250,4500,18750
RT11385,55500,180750,822000
ED203105,35250,120000,637500
AR198867,119250,327000,1347000
ED50556,29250,60750,131250
VL182360,69000,198000,773250
VL56763,11250,22500,232500
ED59336,10500,37500,397500
FT68775,35250,78750,501000
RT127645,104250,457500,1576500
ED145437,6750,29250,387750
RT21440,46500,174750,960750
VL145295,30000,74250,574500
AR152054,25500,108750,790500
RY207974,7500,15000,90750
KJ152169,81750,215250,870000
FT167731,8250,35250,478500
RT168902,1500,3000,230250
RY114481,1500,16500,147000
RY168623,47250,245250,1238250
AR218211,2250,18750,336000
AR97315,2250,78750,505500
FT149035,2250,52500,614250
XC148990,140250,669750,2295000
XC216660,3000,26250,515250
AR209483,3750,70500,523500
ED188290,50250,225750,914250
XC151950,107250,347250,1204500
XC83815,130500,350250,1110750
AR92212,34500,123750,820500
ED127498,14250,28500,208500
KJ149825,78000,291750,1704750
RY143768,55500,192750,693000
RY29114,21000,105000,710250
VL150985,110250,305250,1057500
KJ165278,13500,86250,396750
KJ206122,6750,42750,241500
ED210224,34500,114750,615750
ED70773,55500,236250,1029000
XC34801,750,15750,150750
ED153562,57000,225750,1301250
KJ49924,12000,61500,304500
ED40111,15750,65250,179250
KJ147087,16500,83250,350250
VL164534,15000,105750,693750
FT16135,37500,194250,1049250
RY94324,18000,93000,549000
RT196956,2250,14250,175500
RY201408,2250,18750,273000
AR165800,39000,120750,553500
ED129332,42750,117000,543000
VL104359,25500,87750,579000
XC120333,41250,131250,558750
AR59115,9000,41250,233250
XC219093,59250,132750,392250
ED148973,37500,176250,899250
FT201332,45750,107250,531000
FT69484,33000,139500,579750
VL61282,16500,146250,950250
KJ113293,59250,243000,769500
KJ68191,15000,111750,731250
KJ13742,1500,15750,206250
KJ210162,12000,109500,741000
RT74746,3750,25500,252000
RT94694,1500,12750,145500
FT29333,2250,18750,118500
VL101110,2250,4500,9000
AR83384,107250,238500,599250
RT153469,27750,84000,523500
RT21321,13500,71250,352500
RT5341,45750,140250,590250
VL191735,21750,63750,211500
VL28977,3000,91500,624750
RT136801,27000,132750,799500
XC198765,15000,166500,700500
AR172230,15000,142500,928500
AR202371,11250,50250,565500
ED129754,6000,75000,496500
RT114219,79500,259500,785250
RY184256,9000,36750,158250
VL112230,6000,12000,48000
XC48192,23250,63000,148500
AR56157,66000,305250,1253250
VL63951,72750,321000,1581000
RY187431,98250,269250,776250
XC194296,3000,72000,555750
FT63155,102750,309750,1038750
KJ127590,15000,42000,381000
FT123842,34500,131250,417000
ED131895,5250,40500,297750
RY190339,26250,122250,865500
VL105278,26250,222750,1104750
ED180247,72000,198750,996000
XC124929,3000,6000,38250
RT105853,45750,170250,603000
RT63454,39750,214500,750750
VL126327,11250,84750,663750
AR35401,75750,275250,1034250
VL191569,44250,150000,491250
FT45749,27750,79500,312750
RT111437,17250,63750,334500
RY91008,86250,225000,978750
RT30723,16500,108750,598500
RY60725,12750,86250,654000
VL33801,8250,26250,159750
ED206253,33750,138750,655500
RY8185,2250,49500,331500
RT146402,8250,16500,190500
AR176958,37500,122250,426750
FT107969,35250,143250,746250
RY3805,124500,495000,1745250
VL159999,51750,183000,872250
ED11930,4500,83250,376500
ED89955,4500,9000,144750
FT88118,43500,252750,1137750
FT39439,12750,25500,110250
RY170629,5250,38250,203250
RY58362,120750,376500,1264500
XC42402,22500,50250,147750
AR42237,6000,12000,82500
KJ71677,21000,123750,492750
KJ182996,29250,120000,735750
RT107252,6750,157500,745500
RT77733,102750,375750,1305750
RY203989,45000,105750,273000
RT105534,52500,188250,589500
XC198858,42000,99000,305250
FT210809,85500,237750,781500
FT37568,7500,34500,141000
RT207379,12750,36750,84750
RT37152,21750,107250,621750
XC155793,24000,215250,818250
FT131238,14250,177750,781500
KJ143866,15750,37500,145500
XC164702,23250,61500,176250
AR171952,2250,4500,21000
RT106398,30000,93000,331500
ED31192,3750,72750,467250
RT167994,42750,122250,408750
AR45360,11250,164250,663750
AR51362,34500,140250,613500
AR31321,6000,64500,459750
RT173692,6000,12000,128250
RY19561,60750,220500,881250
XC70445,63750,151500,632250
FT38486,91500,231750,725250
RT126427,8250,16500,55500
RY186189,8250,21000,158250
FT27664,15000,30000,88500
KJ27465,14250,52500,192750
VL197243,3750,36750,199500
XC99339,13500,63000,253500
XC197226,42750,168000,686250
XC31728,12750,79500,319500
XC22094,3000,9000,114750
RY13547,32250,102000,546750
AR202744,5250,12000,84750
ED1845,26250,105750,462750
KJ51005,17250,73500,428250
AR197673,18000,42750,198000
KJ199052,46500,195000,844500
AR26404,25500,111750,521250
ED185325,24750,66000,165750
FT61066,49500,268500,1022250
VL23335,8250,92250,404250
VL50241,42000,135750,496500
AR166100,45000,114000,252000
FT61493,9000,22500,58500
AR117021,11250,22500,98250
AR163984,55500,198000,750000
RY174499,27000,82500,294750
VL54884,4500,72000,381750
XC40963,12750,66750,231750
RY100531,36000,106500,300750
RT153670,4500,9000,141750
RY81399,42000,138750,424500
VL207543,22500,228000,860250
AR129031,5250,28500,91500
ED61180,9750,30750,127500
KJ30511,18000,40500,147750
XC44613,35250,78000,219000
XC45433,11250,31500,287250
AR192183,22500,128250,608250
KJ97232,54750,237000,799500
RT206343,53250,120750,318000
AR210493,750,24750,146250
RT2414,72750,203250,600000
RT1427,18000,84750,266250
RT84355,87750,376500,1236000
XC55161,15000,51750,353250
ED159985,56250,210750,777750
ED161850,33000,90000,276750
ED31702,8250,117000,492750
RY27401,18000,84000,335250
ED128887,1500,10500,129750
KJ173640,1500,21000,266250
RT217986,67500,210750,607500
AR103288,18000,75000,235500
AR22894,3000,19500,107250
RT50404,33750,88500,303750
ED46034,10500,45750,150000
RT122606,60750,159750,411000
RT175623,62250,144000,344250
RY4142,22500,77250,340500
FT165110,40500,121500,424500
FT93892,6000,12000,168000
VL181253,101250,266250,629250
FT125730,43500,145500,439500
FT67022,60000,149250,501000
RY30315,6750,15000,97500
VL47060,15750,66000,247500
ED78141,3750,77250,332250
ED14660,18750,78750,339000
RT129391,7500,32250,231000
XC80216,7500,47250,219750
FT194623,36000,99000,299250
RT209564,37500,108750,269250
RY180101,12000,52500,163500
RT138074,9000,36750,114750
KJ10705,3750,51750,189000
XC186045,11250,51000,221250
XC209991,20250,68250,207000
XC45073,5250,10500,87000
ED20411,30000,93000,287250
KJ6459,51750,153750,390750
RT159574,27000,111750,406500
ED131642,17250,55500,159750
ED164926,8250,46500,213750
KJ39096,18750,71250,360000
ED180192,15750,31500,121500
FT55931,3000,28500,147750
AR6340,7500,31500,201750
VL197250,52500,147000,412500
XC189585,12000,66750,333750
AR165793,51750,147750,399000
ED81767,16500,61500,213750
XC111476,39000,126750,339750
ED91425,61500,152250,384000
RY113939,30750,108000,326250
FT213263,2250,4500,54000
RT29857,19500,76500,263250
RT45804,18750,73500,239250
XC165270,7500,15000,57750
XC80142,28500,70500,222750
FT212899,21750,78750,231750
KJ110710,51000,107250,295500
RY9537,30000,93750,332250
VL186291,18000,42750,124500
KJ143235,4500,9000,126000
RY16807,17250,47250,200250
XC123032,21750,81000,204000
FT176298,5250,15750,93000
FT214255,9000,18000,72000
KJ214359,7500,35250,120750
KJ95094,5250,64500,342000
RY62872,6000,14250,41250
KJ81163,51000,162000,487500
XC18349,25500,70500,267750
RY95337,27750,62250,345750
ED171213,66750,181500,493500
FT149086,15000,56250,169500
RT95583,53250,138750,395250
ED171960,24000,54750,150000
RY16944,21000,72000,246000
XC219579,15750,31500,102000
AR56916,9750,179250,1128000
RT169168,9000,30000,112500
KJ213986,67500,252000,1154250
RY52124,90750,343500,1455000
AR158408,3750,7500,258000
ED169314,26250,135000,905250
VL107015,3750,197250,1026750
FT52306,18750,174750,987750
AR211603,8250,16500,51000
KJ75221,10500,73500,471000
VL170128,5250,45750,571500
RT35638,18000,104250,714750
ED219622,750,1500,73500
AR171920,39750,163500,990750
ED108863,79500,303750,1182000
VL17698,30000,102000,298500
FT218862,9750,96000,437250
XC28782,33000,95250,367500
ED172467,55500,372000,1665750
FT161399,3000,45000,349500
FT170517,52500,129750,684000
FT12685,30750,93000,357750
XC159440,33750,122250,591000
RY10829,65250,196500,647250
XC181389,53250,230250,998250
RY33829,59250,265500,1082250
VL99968,76500,341250,1536750
AR156129,18750,37500,224250
AR26369,37500,93000,423000
VL114774,37500,87750,475500
FT133184,2250,84000,1143750
RY94642,39000,116250,730500
AR138330,34500,111000,538500
RY167633,15750,48750,226500
ED22184,51750,192000,924000
RT219297,3750,7500,81000
VL5201,71250,280500,1051500
AR143268,30000,160500,832500
RY81875,73500,159000,569250
ED160397,54000,257250,1432500
RT207056,42750,177750,551250
XC114856,750,41250,273000
RT130320,23250,192000,879750
RY127493,70500,174000,758250
XC112278,27000,57750,298500
AR36344,7500,22500,387000
ED103782,114750,337500,951000
AR197128,48750,345750,1620750
RT5785,20250,80250,523500
RT193702,36000,138000,651750
VL140063,8250,16500,228750
VL181202,13500,42000,217500
FT88311,30000,92250,399750
AR66297,750,8250,53250
ED208862,67500,243000,832500
RT68705,7500,90750,453000
AR60871,34500,120750,427500
KJ216897,58500,258000,1230000
RY203746,21750,66000,211500
FT177675,42750,201750,759750
FT8483,24750,56250,248250
RT146371,3000,6000,19500
VL172503,21000,125250,546000
VL212026,74250,168750,645750
ED86877,10500,121500,760500
FT159549,55500,140250,336750
FT99087,61500,166500,513750
RT193379,21750,117000,502500
VL93087,77250,282000,1023000
RT53512,5250,10500,88500
RY52153,78000,304500,1230000
FT203597,138750,335250,1187250
RY96845,6000,19500,280500
FT153493,15000,112500,603750
FT176301,750,8250,85500
XC86541,78750,325500,1244250
ED171058,15750,49500,217500
FT26639,58500,169500,622500
XC11132,69000,246750,1017750
XC169312,78000,230250,841500
ED36469,1500,49500,511500
RT66003,57750,166500,567750
VL93856,84000,308250,1359000
AR108059,72750,254250,890250
KJ130580,12750,25500,115500
FT101575,12750,43500,212250
AR100361,99000,303750,1012500
FT14036,43500,219750,1056000
RY9168,53250,182250,761250
FT83389,9750,87750,435000
RT87655,57750,218250,774750
AR48701,102000,240000,661500
FT82133,8250,30750,148500
AR64500,23250,149250,650250
AR144326,6750,13500,81000
ED210396,2250,22500,249000
KJ136059,18750,37500,119250
KJ162973,36000,150000,663750
RY218889,51000,144000,388500
KJ71635,26250,179250,895500
RY188333,45750,113250,452250
AR192608,3750,9000,92250
VL91977,4500,42000,204750
ED68678,4500,9000,181500
AR91964,5250,35250,155250
ED186643,15000,144750,567000
VL37127,22500,96000,456750
RT1241,23250,47250,185250
AR153713,27000,66000,279000
FT47498,24750,68250,273000
KJ97764,750,20250,471000
AR1226,40500,142500,624000
AR65836,72000,312000,1127250
ED127961,48000,190500,663000
FT62724,23250,61500,252750
VL157736,28500,105000,368250
KJ209513,6750,39750,343500
XC41086,57000,143250,417750
AR188920,43500,95250,228000
RT56055,13500,34500,300750
RY217287,3750,13500,115500
VL148607,3750,7500,27750
KJ145915,28500,102000,354000
RT46265,18750,114000,581250
AR80838,22500,49500,294000
VL156920,36000,120750,435750
VL2631,63000,162750,831750
XC399,11250,41250,291750
KJ181101,54750,221250,835500
KJ34911,22500,96000,520500
XC63400,24000,81750,323250
ED212456,15750,78750,555750
KJ16621,9000,59250,324000
RY99313,201750,514500,1355250
ED57812,36750,180000,639000
ED7730,45750,137250,505500
VL208242,8250,21750,263250
XC165209,36750,96000,249750
ED42772,8250,75750,417750
AR153648,2250,52500,328500
AR93552,4500,9000,49500
KJ219688,11250,51000,177750
RY175069,18000,42000,156750
RY215755,36000,78000,202500
XC1503,24000,91500,281250
RT40771,14250,40500,107250
AR175834,12750,43500,168000
RY177055,60000,243000,753750
ED194302,6750,13500,76500
ED82286,40500,119250,327000
RY137203,141000,331500,948750
AR51761,38250,128250,375000
KJ36828,44250,110250,297000
RY138386,8250,16500,33000
VL124035,14250,42000,249000
VL217285,67500,209250,710250
FT96994,38250,108750,424500
KJ200120,1500,24750,128250
RT88656,28500,98250,341250
KJ81983,3000,42750,326250
RT12150,3000,6000,50250
RT8432,31500,101250,431250
XC40142,12000,54750,249000
AR131279,49500,147750,450000
ED9498,3750,57750,283500
FT64151,3750,17250,86250
XC133056,24000,49500,200250
RT19230,5250,12750,119250
FT16545,14250,46500,290250
ED150926,32250,86250,257250
FT207903,10500,29250,133500
XC19792,6750,28500,297000
ED58816,8250,27000,102000
KJ216861,10500,21000,84750
FT138979,73500,197250,662250
FT18838,10500,67500,312000
KJ118897,34500,115500,309000
KJ92262,32250,74250,257250
RT106473,60750,154500,453750
XC99680,24000,57000,132000
KJ61211,3000,12000,57750
AR96851,39000,157500,466500
ED2603,2250,12000,65250
AR59669,25500,105750,354750
ED86138,9750,21750,63000
RT194568,42000,180750,493500
KJ3000,22500,78750,351000
XC191731,15750,98250,384000
ED176751,5250,12000,187500
ED127341,16500,33000,139500
ED85787,10500,47250,223500
AR172586,6750,27750,127500
ED42731,28500,57000,185250
RY66742,6750,21000,90750
VL7886,6750,15750,51000
RY154445,7500,53250,190500
VL107983,19500,72750,258000
VL159382,7500,15000,87750
RY117388,8250,16500,109500
RY93353,14250,79500,315750
XC171825,26250,80250,296250
XC38780,8250,52500,388500
RT168306,21000,45750,156750
ED170002,9000,39000,240750
KJ179729,6000,33750,130500
XC187253,3000,6000,21000
KJ110697,15750,51750,176250
KJ191128,3750,54750,198750
XC114786,10500,48000,127500
FT139018,29250,78000,224250
RY83175,13500,57750,174000
ED60796,32250,79500,221250
FT118367,60750,169500,473250
VL177134,6000,21750,59250
VL175071,13500,27000,114750
XC7749,15000,40500,213000
AR146242,8250,36000,165000
ED138995,8250,63000,234000
RY74706,1500,25500,124500
RY140964,18750,55500,172500
ED174416,19500,45750,137250
KJ57284,21000,63750,206250
RY38797,15000,39000,138750
ED211674,23250,52500,150000
VL99529,12000,47250,120000
ED22672,9750,25500,72000
FT113598,16500,40500,199500
VL142090,6750,25500,73500
FT83518,43500,126750,314250
XC137054,6000,30750,91500
RT157249,13500,33000,102750
AR214232,15750,33750,113250
VL58387,30000,82500,272250
ED202443,13500,41250,116250
KJ94628,38250,234000,1269750
RT32770,2250,90750,709500
RT214258,12000,114000,894750
KJ203792,58500,242250,1504500
VL54107,3750,27750,798000
FT116614,33000,197250,1125750
KJ131965,22500,62250,374250
RT198621,38250,155250,1258500
RT203551,22500,68250,345000
AR214898,45750,156750,711750
ED60781,53250,342750,1618500
RT99875,30000,201750,1019250
RY126045,117000,266250,838500
XC29874,141000,435750,1536000
ED109855,30750,124500,504000
ED6080,1500,27750,375000
VL176793,27750,220500,1125000
VL92200,9000,97500,910500
VL116198,78000,195750,861000
FT89749,51000,192750,748500
KJ900,3000,9750,118500
RT41512,21000,78750,545250
RY217354,3000,96000,570000
RT83726,37500,159750,743250
XC24350,60750,244500,1365750
ED25826,36750,108000,403500
FT28122,29250,93000,329250
AR56145,21750,60000,444000
VL120068,27000,73500,245250
ED207620,39000,139500,690750
RT26376,6750,13500,54750
AR146793,22500,66750,324000
ED39677,156000,513750,1806000
ED75876,7500,36000,141750
KJ35712,27000,90750,567000
RT102601,7500,75750,509250
RT102358,21000,78750,366000
RT35455,29250,78750,442500
AR175996,36000,156750,780750
RT89764,10500,21000,91500
VL147443,2250,18000,327750
AR5737,27000,79500,327750
FT126485,19500,126000,702000
XC91276,9000,42750,175500
FT199135,18000,117000,619500
XC93555,21000,109500,488250
AR66517,17250,158250,808500
KJ80904,5250,10500,65250
RY113428,27750,220500,1146750
VL136141,56250,150750,520500
XC155251,18750,66750,336000
AR124493,6750,75000,384750
KJ9077,180750,497250,1418250
AR131849,23250,117000,677250
ED7709,7500,47250,150000
AR198172,27000,63000,234000
AR23972,21750,105750,603750
RT36662,10500,89250,433500
ED144200,48750,193500,780750
KJ135276,93000,258750,891000
AR195988,88500,290250,898500
RT3680,24750,152250,690000
KJ184666,14250,28500,117000
FT40220,3750,27000,165000
KJ197967,3750,7500,86250
RT105371,3750,48000,461250
RY150147,11250,45000,153750
AR190131,18750,50250,378750
ED186994,12000,64500,420000
VL128154,108000,319500,1233000
AR72366,11250,114000,684750
ED97819,69000,198000,687000
FT74445,31500,154500,678750
AR98628,50250,192000,765000
AR99421,12000,24000,57000
XC121855,7500,18000,114000
XC183596,7500,45000,355500
XC203598,38250,172500,918750
XC26022,13500,39750,176250
RT144591,9750,33000,179250
FT218851,13500,51000,305250
VL33139,1500,24750,108000
ED12027,54000,159750,465750
XC34336,18750,87750,399000
KJ67769,18000,71250,550500
ED162171,31500,117750,571500
ED90086,14250,69750,240750
FT78444,54000,137250,482250
VL52937,7500,21750,142500
ED154553,33000,134250,610500
ED14559,5250,60000,584250
FT143637,13500,33750,337500
RY35868,28500,119250,410250
XC97578,5250,10500,21000
ED32451,41250,93750,295500
FT116423,46500,180750,566250
RT179326,18750,91500,415500
VL208646,18000,36000,318000
VL60542,6000,21750,378000
RT108649,15000,75750,345000
AR23681,1500,51750,483750
FT206463,25500,120750,652500
RT178402,89250,380250,1614750
FT175497,7500,38250,141750
AR186058,12750,41250,296250
KJ170841,4500,15750,159000
RT52597,30000,93750,388500
KJ1811,37500,108750,486750
VL196247,2250,57750,299250
VL97385,23250,66000,269250
RT118705,3000,57000,429000
XC43755,174000,474750,1296750
FT109048,60000,291000,1258500
FT40527,6750,60750,534750
AR31042,43500,174750,744750
VL193176,17250,72000,339750
AR71457,5250,12750,46500
AR97051,12000,87000,483000
ED207330,5250,27750,320250
AR122446,6000,79500,547500
KJ180104,6000,12000,294000
KJ88236,6750,83250,328500
AR151037,53250,248250,993000
XC83244,72750,194250,563250
AR123228,16500,39750,189750
AR205110,27750,72750,237000
AR57686,8250,21000,219000
VL165196,25500,100500,381750
XC108190,42000,149250,491250
VL182791,1500,25500,290250
AR75539,10500,69750,561750
FT28327,2250,12750,120750
XC95320,3000,33750,357000
KJ190583,8250,54750,378750
KJ219620,12000,32250,293250
XC19892,48750,192000,683250
